trail_name,trail_type,distance(miles),high_point(feet),elevation_gain(feet),difficulty,seasons,family_friendly,backpackable,crowded
Ainsworth Loop Hike,loop,0.5,150,85,Easy,All year,Yes,No,No
Aldrich Butte Hike,out-and-back,13.8,1140,2405,Moderate,All Season,No,No,No
Aldrich Butte-Cedar Falls Loop Hike,loop,16.4,1140,3105,Difficult,Year round,No,No,No
Angels Rest Hike,out-and-back,4.8,1640,1475,Moderate,All Season,Yes,No,Yes
Angels Rest-Devils Rest Loop Hike,loop,10.8,2435,3040,Moderate,All Season,Yes,No,Yes
Archer Mountain Loop Hike,loop,6.3,2020,1780,Moderate,Spring through fall,No,No,No
Augspurger Mountain Hike,out-and-back,12.6,3667,4767,Difficult,Spring through fall; snowshoe in winter,No,No,No
Balfour-Klickitat Loop Hike,loop,0.7,220,115,Easy,All year,Yes,No,No
Beacon Rock Hike,out-and-back,1.8,848,680,Moderate,"Year round, except during ice storms",Yes,No,Yes
Bear Lake Hike,out-and-back,2.6,4100,480,Easy,Summer/Fall,Yes,Yes,No
Bell Creek Loop Hike,loop,17.0,3195,3330,Difficult,May-Oct,No,Yes,Crowded to Triple Falls
Benson Plateau Loop Hike,loop,16.4,4095,4030,Difficult,Late May into October,No,Yes,Yes
Bridal Veil Falls Hike,out-and-back,1.4,230,205,Easy,All year,Yes,No,Yes
Buck Creek on Larch Mountain Hike,out-and-back,1.8,1680,310,Easy,"All year, except during winter snows",Yes,No,No
Buck Point Hike,out-and-back,1.8,710,600,Easy,Year-round,Yes,No,No
Camp Benson Falls Hike,out-and-back,4.9,460,430,Easy,All year,Yes,No,No
Cape Horn Loop Hike,loop,7.4,1300,1230,Moderate,July 16th to January 31st for the loop,No,No,Yes
Cape Horn Overlooks Hike,out-and-back,8.6,1300,1795,Moderate,All year,Yes,No,Yes
Cascade Locks West Loop Hike,loop,3.0,280,100,Easy,Year round,Yes,No,No
Casey Creek Loop Hike,loop,11.3,4035,3995,Difficult,Summer into Fall,No,Yes,No
Catherine Creek Arch Loop Hike,loop,3.4,615,500,Easy,"Year round, best Mar-May",Yes,No,Yes
Catherine Creek Canyon Loop Hike,loop,5.8,1425,1390,Moderate,"All year, best March through May",For older kids,No,Only in lower areas
Catherine Creek Universal Access Hike,loop,1.2,265,90,Easy,All year,Yes,No,Yes
Catherine Creek West Loop Hike,loop,3.4,1310,1040,Easy,Year round,Yes,No,Yes
Catherine Creek-Coyote Wall Loop Hike,loop,11.0,1615,2640,Moderate,"Year round, best March–May",No,No,"Yes, on spring weekends"
Catherine Creek-Rowland Basin Loop Hike,loop,4.9,1300,1320,Moderate,All year: best time is spring,"Yes, for older children",No,On Sunflower Hill
Cedar Mountain Loop Hike,loop,17.1,1995,3970,Difficult,All year,No,o,No
Chenoweth Tableland Loop Hike,loop,3.5,775,620,Easy,All year,Yes,No,No
Chinidere Mountain Loop Hike,loop,4.4,4673,1140,Moderate,Early Summer through Fall,Yes,"Yes - connects to Gorge trail network, camping at ",Peak summer weekends
Columbia Gorge Traverse Hike,point-to-point,34.7,1855,4725,Moderate (in sections),All year,"Yes, in short sections",Yes,No
Cook Hill Loop Hike,loop,8.8,3015,2930,Moderate,Year round,No,No,No
Cougar Rock via Elevator Shaft Hike,loop,6.7,1850,1860,Difficult,Apr-Oct,No. Stony scramble & poison oak,Yes,No
Coyote Wall Hike,loop,7.8,1895,1775,Moderate,Year round,"Yes, but take care at the cliffs",No,Yes
Dalles Mountain Ranch Loop Hike,loop,6.9,1310,1060,Moderate,Year-round,Yes,No,Yes
Devils Hole/Three Benches Hike,loop,2.7,670,800,Moderate,Year round: Spring is best,No,No,No
Devils Rest via Wahkeena Hike,out-and-back,8.4,2435,2350,Moderate,Year round (periods of snow during winter),No,No,"Initially yes, but quieter as you go higher"
Dog Mountain Hike,loop,6.9,2948,2800,Moderate,"All year, except during exceptional snowfall",No,No,"Yes, in spring and summer"
Dog Mountain Loop Hike,loop,7.4,2948,2800,Moderate,"Year round, except during winter storms",No,No,"Yes, especially in spring and summer"
Dublin Lake Hike,out-and-back,13.8,3760,3780,Difficult,Apr-Nov,Too long,Yes,No
Duncan Creek Hike,out-and-back,4.3,2050,1100,Moderate,Spring through fall,"Yes, for older kids",No,No
Eagle Creek Overlook Hike,out-and-back,0.6,170,175,Easy,October 1st to May 30th,Yes,No,No
Eagle Creek to High Bridge Hike,out-and-back,6.4,640,840,Moderate,All year,"No,  not suitable for young children because of the narrow passage, in places, along very high cliffs.",No,Yes
Eagle Creek to Punch Bowl Falls Hike,out-and-back,4.2,505,525,Easy,Year round,"Yes, for older kids",No,Yes
Eagle Creek to Tunnel Falls Hike,out-and-back,12.0,1080,1640,Difficult,Year round,"No, the trail is steep, uneven, and rocky, with narrow sections and cliff paths. Some say it's not ideal for children or dogs. ",Yes,Yes
Eagle-Benson Loop Hike,loop,15.8,4110,4260,Difficult,June-Oct,No,Yes,Yes (on Eagle Creek Trail)
EasyCLIMB Loop Hike,loop,2.8,180,170,Easy,All year,Yes,No,No
Elowah Falls Loop Hike,loop,2.1,255,340,Easy,Year-round except during winter storms,Yes,No,"Yes, as far as the falls"
Fairy Falls Loop Hike,loop,3.4,1575,1495,Moderate,All year,Yes,No,Yes
Fort Cascades Loop Hike,loop,1.3,60,15,Easy,year-round,Yes,No,No
Fort Rains Hike,out-and-back,1.8,175,80,Easy,Year round,Yes,No,No
Franklin Ridge from Larch Mountain Loop Hike,loop,11.8,4055,2460,Difficult,Summer - mid-fall,No,No,"No, except at Sherrard Point"
Franklin Ridge Loop Hike,loop,11.1,2930,3205,Difficult,Mid-spring - fall,No,Yes,Not above the Wahkeena Trail junction
Gillette Lake Hike,out-and-back,5.6,435,650,Easy,Year round,Yes,No,Yes
Green Point Mountain Loop Hike,loop,8.0,4737,1275,Moderate,Summer into Fall,No,Yes,No
Hamilton Creek Loop Hike,loop,2.3,75,20,Easy,All year,Yes,No,No
Hamilton Mountain Loop Hike,loop,7.5,2438,2100,Moderate,March to November,No,No,Yes
Hamilton-Hardy Loop Hike,loop,13.0,2957,3505,Difficult,Spring through fall,No,No,On Hamilton Mountain
Hardy Ridge Loop Hike,loop,8.1,2957,2175,Moderate,Spring through fall,No,No,No
Herman Creek Hike,out-and-back,15.4,2925,2970,Difficult,All year,"Yes, for a shorter distance",Yes,On summer weekends
Herman Creek Pinnacles Hike,out-and-back,4.6,970,1305,Easy,All year,Yes,No,"Yes, on weekends"
Herman Creek Pinnacles via the PCT Hike,out-and-back,7.4,950,1610,Moderate,All year,No,No,On the first section to Dry Creek Falls
Herman Creek-Wyeth Hike,out-and-back,10.8,960,2175,Moderate,Year-Round,Yes (as a car shuttle),No,No
Hood River Pipeline Hike,out-and-back,3.3,200,110,Easy,All year,Yes,No,On summer weekends
Hood River Waterfront Hike,out-and-back,6.4,95,15,Easy,All year,Yes,No,Yes
Horsetail Falls Loop Hike,loop,2.6,395,565,Easy,"All year, except during winter storms",Yes,No,Yes
Horsethief Butte Hike,out-and-back,1.7,498,250,Easy,Year round,Only on easier trails,No,"Yes, on spring weekends"
Indian Creek Hike,out-and-back,3.2,480,250,Easy,All year,Yes,No,No
Indian Mountain Loop Hike,loop,11.5,4865,2640,Moderate,Summer into Fall,No,es,No
Indian Point Loop Hike,loop,7.8,2935,2730,Moderate,All year,No,No,On summer weekends
Klickitat Canyon Hike,out-and-back,6.8,645,100,Easy,All year,Yes,No,No
Klickitat Trail: Klickitat Mineral Springs Hike,out-and-back,5.2,545,50,Easy,All year,Yes,No,No
Klickitat Trail: Lyle to Klickitat Hike,point-to-point,13.0,465,340,Moderate,All year,Yes,No,No
Klickitat Trail: Swale Canyon Hike,point-to-point,15.0,1560,1010,Moderate,Fall through spring (closed in summer),Yes,No,No
Labyrinth Hike,out-and-back,3.6,1005,915,Easy,All year,Yes,No,Yes
Labyrinth-Coyote Wall Loop Hike,loop,7.3,1655,1790,Moderate,All year,"Yes, for older kids",No,Yes
Larch Mountain Crater Loop Hike,loop,6.3,4055,1310,Moderate,May - November,Yes,No,No
Larch Mountain Crater Rim Loop Hike,loop,6.2,4055,1440,Moderate,Summer - mid-fall,No,No,"No, except at Sherrard Point"
Larch Mountain Hike,out-and-back,14.4,4055,4010,Difficult,Apr–Nov,No,Yes,Extremely crowded to the upper viewpoint; quite cr
Larch Mountain via Oneonta Trail Hike,out-and-back,17.2,4055,4400,Difficult,May - October,No,Yes,As far as Triple Falls
Latourell Falls Loop Hike,loop,2.4,620,625,Easy,Year round except during winter storms,Yes,No,Yes
Leidl Ridge Hike,out-and-back,9.1,2140,1115,Moderate,Spring through fall,No,No,No
Lewis and Clark Park Hike,out-and-back,3.0,160,100,Easy,Year-Round,Yes,No,Sometimes
Little Beacon Rock Loop Hike,loop,1.6,730,375,Easy,Year round,Yes,No,Yes
Lower Starvation Loop Hike,loop,3.1,790,795,Moderate,Year Round,No,No,No
Lyle Cherry Orchard Hike,loop,6.5,1245,1340,Moderate,"All year, best in spring and fall","Yes, for older kids",No,On spring weekends
Maryhill Loops Hike,loop,5.9,1560,820,Moderate,Year round,Yes,No,No
McCall Point Hike,out-and-back,3.4,1722,1070,Moderate,March 1st to October 31st (closed in the wet season to prevent erosion),"Yes, for older kids",No,Yes
McCord Creek to Tanner Creek Loop Hike,loop,7.1,335,820,Moderate,Year-round except during winter storms,Only short distances,No,Only as far as Elowah Falls
Memaloose Hills Hike,out-and-back,3.2,957,550,Easy,All year,Yes,No,No
Mist Falls Hike,out-and-back,0.5,395,335,Moderate,All year,For adventurous scramblers only,No,No
Mitchell Point Hike,out-and-back,2.6,1178,1270,Moderate,All year,No,No,On sunny weekends
Mosier Plateau Hike,out-and-back,3.5,620,760,Easy,All year,Yes,No,Yes
Mosier Twin Tunnels Hike,point-to-point,8.5,530,1000,Moderate,Year round,Yes,No,Yes
Mount Defiance from Columbia River Hike,out-and-back,11.6,4959,4840,Difficult,Mid-May through October,No,No,On weekends
Mount Defiance from Wahtum Lake Road Hike,out-and-back,3.2,4959,1145,Easy,May-Nov,Yes,No,No
Mount Defiance-Starvation Ridge Loop Hike,loop,12.8,4959,4970,Difficult,Mid-May through October,No,Yes,"Yes, on weekends"
Mud Lake Hike,out-and-back,7.4,4480,1400,Moderate,Summer into Fall,Yes,es,No
Multnomah Falls Hike,out-and-back,2.4,895,870,Moderate,Year-round,Yes,No,Very
Multnomah Falls-Devils Rest Loop Hike,loop,8.2,2445,2595,Difficult,"All year, except when there is low-level snow",No,No,Not above the lower trails
Multnomah-Wahkeena Loop Hike,loop,4.9,1560,1600,Moderate,Year round (occasional snow/ice in winter),Yes,No,Yes
Munra Point from Wahclella Hike,out-and-back,6.0,1740,2270,"Difficult (scramble, exposure)","year-round, but hazardous when wet",No,No,No
Munra Point from Yeon Trailhead Hike,out-and-back,6.0,1740,2270,"Difficult (scramble, exposure)","year-round, but hazardous when wet",No,No,No
Nellie Corser Loop Hike,loop,0.8,1215,275,Easy,Spring through fall,Yes,No,No
Nesmith Point Hike,out-and-back,10.6,3872,3800,Difficult due to elevation gain,Apr-Oct,No,Yes,No
Nesmith-Oneonta Traverse Hike,point-to-point,14.1,3872,3800,Difficult due to elevation gain and length,Apr-Oct,No,Yes,No
Nesmith-Tanner Traverse Hike,point-to-point,16.7,3872,4350,Difficult due to elevation gain,Apr-Oct,No,Yes,No
Nick Eaton Falls Hike,out-and-back,4.2,1020,970,Easy,All year,Yes,No,Yes
Nick Eaton Ridge Loop Hike,loop,13.6,4095,4820,Difficult,Late spring into fall,No,Yes,No
North Lake Hike,out-and-back,12.8,3988,4220,Difficult,Summer into Fall,No,Yes,No
Oneonta-Multnomah Loop Hike,loop,12.3,2795,3050,Difficult,Mid-spring - fall,No,Yes,Not in the upper reaches
Pepper Mountain Hike,out-and-back,2.6,2149,700,Easy,Spring to late fall,Yes,No,No
Ponytail Falls Hike,out-and-back,0.8,350,320,Easy,Year-round except during winter storms,Yes,No,Yes
Pool of the Winds Hike,out-and-back,2.2,1035,700,Easy,Year round,Yes,No,Yes
Punchbowl Falls Park Hike,out-and-back,2.1,910,210,Easy,All year,Yes,No,On summer weekends
Rainy Lake Loop Hike,loop,3.2,4736,755,Easy,Summer through fall,Yes,No,No
Rainy Lake via Gorton Creek Trail Hike,out-and-back,22.0,4736,5430,Difficult,Summer into fall,No,Yes,No
River to Rock Loop Hike,loop,3.1,285,270,Easy,All year,Yes,No,No
Rock of Ages Loop Hike,loop,10.0,1800,3000,"Difficult (steepness, length, creek crossing, non-maintained path)",Apr-Oct,No,Yes,Only at trailhead
Rooster Rock Loop Hike,loop,2.7,210,240,Easy,Year round,Yes,No,No
Rooster Rock Wagon Road Hike,out-and-back,4.8,845,910,Easy,All year,Yes,No,No
Rowena Plateau Hike,loop,2.2,710,240,Easy,Year round,Yes,No,Yes
Ruckel Ridge Loop Hike,loop,9.0,3700,3700,Difficult,May-October,Yes,No,No
Rudolph Spur Loop Hike,loop,10.4,3700,3700,Difficult,May-Oct,No,Yes,No
Sams Walker Loop Hike,loop,1.1,45,15,Easy,All year,Yes,No,No
Sandy River Delta Loop Hike,loop,4.4,35,40,Easy,Year round,Yes,No,Yes
Sevenmile Hill Loop Hike,loop,4.8,1980,1260,Moderate,"All year, but spring is best","For older, adventurous kids",No,No
Shady Glen Loop Hike,loop,0.6,105,55,Easy,All year,Yes,No,No
She Who Watches Hike,out-and-back,0.6,240,45,Easy,Year round,Yes,No,Group tour
Shepperds Dell Hike,out-and-back,0.2,155,45,Easy,All,Yes,No,No
Sherrard Point Hike,out-and-back,0.6,4055,170,Easy,Apr-Oct,Yes,No,Yes
Skamania Lodge Loop Hike,loop,3.3,405,310,Easy,All year,Yes,No,No
Soda Springs Loop Hike,loop,11.3,2105,2060,Moderate,Spring to beginning of fall,No,No,No
Sorosis Park Loop Hike,loop,1.5,745,160,Easy,All year,Yes,No,No
Spearfish Lake Loop Hike,loop,2.2,225,45,Easy,Year round,Yes,No,Sometimes
St. Cloud Loop Hike,loop,1.0,50,25,Easy,All year,Yes,No,No
Stacker Butte Hike,out-and-back,5.1,3220,1145,Moderate,"Year round, but spring is best",O.K. for older kids,No,"Yes, at prime bloom time on balmy spring weekends"
Starvation Creek Waterfalls Hike,out-and-back,4.3,285,145,Easy,All year,Yes,No,Yes
Starvation Ridge Hike,out-and-back,8.8,3845,3855,Difficult,May through October,No,Yes,No
Strawberry Island Loop Hike,loop,3.2,165,150,Easy,All year,Yes,No,No
Table Mountain from Bonneville Hike,out-and-back,15.5,3417,4320,Difficult,April-October,No,No,Yes
Table Mountain North Ridge Hike,loop,19.5,3417,4350,Difficult,April-October,No,Yes,"Yes, but not on the north loop"
Tanner Butte Hike,out-and-back,19.0,4500,4800,Difficult,April-November,No,Yes,No
Tanner Creek Hike,out-and-back,12.2,2150,1400,Moderate,Mar-Nov,Too long,Yes,No
Tanner Creek to Eagle Creek Loop Hike,loop,5.0,605,835,Moderate,Year-round except during winter storms,"Yes, for older kids",No,No
Tanner Cutoff Loop Hike,loop,14.4,4500,3700,Difficult,Apr-Nov,"No, too long",Yes,No
Tanner-Eagle Traverse Hike,point-to-point,23.6,3030,4500,Difficult,Apr-Nov,Too long,Yes,only the last 7 miles near Eagle Creek
The Dalles Riverfront Hike,out-and-back,6.6,210,100,Easy,All year,Yes,No,No
Tomlike Mountain Hike,loop,6.8,4555,1565,Moderate,Summer into Fall,"Yes, for older kids",No,No
Tooth Rock Loop Hike,loop,1.8,440,410,Moderate,All year,No,No,No
Tracy Hill Loop Hike,loop,6.1,1840,1715,Moderate,Year round; spring is best,Yes,No,No
Triple Falls Hike,out-and-back,3.6,650,680,Moderate,Year round except during winter storms,Yes: but there are steep drop-offs,No,Yes
Two Chiefs Trail Hike,out-and-back,15.2,1380,2575,Moderate,Year round,No,No,No
Upper Hardy Creek Loop Hike,loop,8.4,2420,1875,Moderate,All year,No,No,No
Upper McCord Creek Falls Hike,out-and-back,1.9,540,445,Easy,Year-round except during winter storms,Yes,No,Yes
Viento State Park Hike,out-and-back,5.8,325,490,Moderate,All year,Yes,No,Yes
Wahclella Falls Hike,out-and-back,2.4,335,320,Easy,Year round,Yes,No,Yes
Wahkeena Falls Hike,out-and-back,2.8,645,565,Moderate,All year,Yes,No,Yes
Wahtum Lake to Benson Plateau Hike,loop,13.2,4673,2780,Difficult,June into October,No,Yes,Around Wahtum Lake
Wahtum Lake via Herman Creek Hike,out-and-back,22.2,4330,5070,Difficult,Summer into fall,For a short distance,Yes,On summer weekends
Wahtum Lake via Pacific Crest Trail Hike,out-and-back,33.8,4320,6010,Difficult,June into October,No,Yes,Yes
Wahtum Lake via Ruckel Creek Hike,out-and-back,29.8,3950,6270,Difficult,May-October,No,Yes,No
Warren Lake to Mount Defiance Hike,loop,4.7,4959,1340,Moderate,Summer into fall,"Yes, for older kids",Yes,No
Waucoma Lakes Loop Hike,loop,16.5,4737,3170,Difficult,Summer/Fall,No,Yes,No
Wauna Point Hike,out-and-back,9.8,1688,3380,Moderate,Apr-Nov,No,Yes,No
Wauna Viewpoint from Eagle Creek Hike,out-and-back,3.4,1080,1030,Moderate,Year round,Yes,No,No
Wauna Viewpoint from Tooth Rock Hike,loop,5.4,1080,1200,Moderate,Year round,No,No,No
Wauneka Point Hike,out-and-back,17.4,3872,5680,Difficult,Summer into Fall,No,es,As far as Nesmith Point
Wind Mountain Hike,out-and-back,2.9,1907,1185,Moderate,Year round,Yes,No,No
Wygant Peak Hike,out-and-back,9.2,2214,2365,Moderate,all,No,No,Never
Young Creek Bottomland Hike,out-and-back,4.3,45,40,Easy,Summer through falll,Yes,No,No
