trail_name,latitude,longitude
Ainsworth Loop Hike,45.56058,-122.17239
Angels Rest Hike,45.56065,-122.17241
Angels Rest-Devils Rest Loop Hike,45.56065,-122.17241
Balfour-Klickitat Loop Hike,45.69931,-121.29345
Beacon Rock Hike,45.62909,-122.02103
Bear Lake Hike,45.63621,-121.74248
Bridal Veil Falls Hike,45.55346,-122.18291
Buck Creek on Larch Mountain Hike,45.51778,-122.17206
Buck Point Hike,45.641,-121.9266
Camp Benson Falls Hike,45.42771,-122.81956
Cape Horn Overlooks Hike,45.58852,-122.17874
Cascade Locks West Loop Hike,45.66177,-121.89848
Catherine Creek Arch Loop Hike,45.71047,-121.36214
Catherine Creek Universal Access Hike,45.71047,-121.36214
Catherine Creek West Loop Hike,45.71047,-121.36214
Catherine Creek-Rowland Basin Loop Hike,45.71047,-121.36214
Chenoweth Tableland Loop Hike,45.62715,-121.22913
Chinidere Mountain Loop Hike,45.57737,-121.79263
Columbia Gorge Traverse Hike,45.7253,-121.73
Coyote Wall Hike,45.2974,-122.79827
Dalles Mountain Ranch Loop Hike,45.657,-121.0872
Duncan Creek Hike,45.63603,-122.08526
Eagle Creek Overlook Hike,45.63674,-121.91974
Eagle Creek to Punch Bowl Falls Hike,45.64045,-121.9264
EasyCLIMB Loop Hike,45.7253,-121.73
Elowah Falls Loop Hike,45.61248,-122.00461
Fairy Falls Loop Hike,45.7253,-121.73
Fort Cascades Loop Hike,46.22677,-124.01276
Fort Rains Hike,45.661,-121.90642
Gillette Lake Hike,45.65032,-121.93389
Hamilton Creek Loop Hike,45.6385,-121.9742
Herman Creek Hike,45.68295,-121.84194
Herman Creek Pinnacles Hike,45.68295,-121.84194
Herman Creek-Wyeth Hike,45.68295,-121.84194
Hood River Pipeline Hike,45.38337,-122.7408
Hood River Waterfront Hike,45.38337,-122.7408
Horsetail Falls Loop Hike,45.59038,-122.06812
Indian Creek Hike,45.70533,-121.50809
Klickitat Canyon Hike,45.83468,-121.08058
Klickitat Trail: Klickitat Mineral Springs Hike,45.8233,-121.09857
Klickitat Trail: Lyle to Klickitat Hike,45.85,-121.15
Klickitat Trail: Swale Canyon Hike,45.33765,-121.91561
Labyrinth Hike,45.7253,-121.73
Labyrinth-Coyote Wall Loop Hike,45.7253,-121.73
Larch Mountain Crater Loop Hike,45.52932,-122.08834
Latourell Falls Loop Hike,45.53859,-122.21808
Lewis and Clark Park Hike,45.42056,-122.55284
Little Beacon Rock Loop Hike,45.63279,-122.01973
Lyle Cherry Orchard Hike,45.6864,-121.26554
Maryhill Loops Hike,45.49936,-122.69368
McCall Point Hike,45.68272,-121.29988
Memaloose Hills Hike,45.69458,-121.34384
Mosier Plateau Hike,45.68491,-121.39391
Mosier Twin Tunnels Hike,45.64153,-121.92809
Mount Defiance from Wahtum Lake Road Hike,45.63621,-121.74248
Mud Lake Hike,45.57737,-121.79263
Multnomah Falls Hike,45.57787,-122.11727
Multnomah-Wahkeena Loop Hike,45.57769,-122.11722
Nellie Corser Loop Hike,45.6378,-122.0826
Nick Eaton Falls Hike,45.68283,-121.84237
Pepper Mountain Hike,45.45202,-122.87016
Ponytail Falls Hike,45.59038,-122.06812
Pool of the Winds Hike,45.63279,-122.01973
Punchbowl Falls Park Hike,45.42056,-122.55284
Rainy Lake Loop Hike,45.57736,-121.79282
River to Rock Loop Hike,45.38337,-122.7408
Rooster Rock Loop Hike,45.54731,-122.2341
Rooster Rock Wagon Road Hike,45.5345,-122.2607
Rowena Plateau Hike,45.68289,-121.30207
Ruckel Ridge Loop Hike,45.641,-121.9266
Sams Walker Loop Hike,45.6118,-122.052
Sandy River Delta Loop Hike,45.54566,-122.37466
Shady Glen Loop Hike,45.641,-121.9266
She Who Watches Hike,45.7253,-121.73
Shepperds Dell Hike,45.54687,-122.19751
Sherrard Point Hike,45.52919,-122.08819
Skamania Lodge Loop Hike,45.7253,-121.73
Sorosis Park Loop Hike,45.42056,-122.55284
Spearfish Lake Loop Hike,45.6253,-121.1276
St. Cloud Loop Hike,45.7253,-121.73
Starvation Creek Waterfalls Hike,45.68839,-121.69008
Strawberry Island Loop Hike,45.7253,-121.73
Tanner Creek to Eagle Creek Loop Hike,45.63674,-121.91974
The Dalles Riverfront Hike,45.38337,-122.7408
Tomlike Mountain Hike,45.57737,-121.79264
Tracy Hill Loop Hike,45.71214,-121.3541
Triple Falls Hike,45.58823,-122.07987
Upper McCord Creek Falls Hike,45.61248,-122.00461
Viento State Park Hike,45.69617,-121.66846
Wahclella Falls Hike,45.63151,-121.95365
Wahkeena Falls Hike,45.5774,-122.11703
Warren Lake to Mount Defiance Hike,45.68838,-121.69039
Wauna Viewpoint from Eagle Creek Hike,45.63674,-121.91974
Wind Mountain Hike,45.71354,-121.75213
Young Creek Bottomland Hike,45.54277,-122.23769
