trail_name,trail_type,distance(miles),high_point(feet),elevation_gain(feet),difficulty,seasons,family_friendly,backpackable,crowded
Ainsworth Loop Hike,loop,0.5,150.0,85.0,Easy,All year,Yes,No,No
Angels Rest Hike,out-and-back,4.8,1640.0,1475.0,Moderate,All Season,Yes,No,Yes
Angels Rest-Devils Rest Loop Hike,loop,10.8,2435.0,3040.0,Moderate,All Season,Yes,No,Yes
Balfour-Klickitat Loop Hike,loop,0.7,220.0,115.0,Easy,All year,Yes,No,No
Beacon Rock Hike,out-and-back,1.8,848.0,680.0,Moderate,"Year round, except during ice storms",Yes,No,Yes
Bear Lake Hike,out-and-back,2.6,4100.0,480.0,Easy,Summer/Fall,Yes,Yes,No
Bridal Veil Falls Hike,out-and-back,1.4,230.0,205.0,Easy,All year,Yes,No,Yes
Buck Creek on Larch Mountain Hike,out-and-back,1.8,1680.0,310.0,Easy,"All year, except during winter snows",Yes,No,No
Buck Point Hike,out-and-back,1.8,710.0,600.0,Easy,Year-round,Yes,No,No
Camp Benson Falls Hike,out-and-back,4.9,460.0,430.0,Easy,All year,Yes,No,No
Cape Horn Overlooks Hike,out-and-back,,1300.0,11851795.0,Moderate,All year,Yes,No,Yes
Cascade Locks West Loop Hike,loop,3.0,280.0,100.0,Easy,Year round,Yes,No,No
Catherine Creek Arch Loop Hike,loop,3.4,615.0,500.0,Easy,"Year round, best Mar-May",Yes,No,Yes
Catherine Creek Universal Access Hike,loop,1.2,265.0,90.0,Easy,All year,Yes,No,Yes
Catherine Creek West Loop Hike,loop,3.4,1310.0,1040.0,Easy,Year round,Yes,No,Yes
Catherine Creek-Rowland Basin Loop Hike,loop,4.9,1300.0,1320.0,Moderate,All year: best time is spring,"Yes, for older children",No,On Sunflower Hill
Chenoweth Tableland Loop Hike,loop,3.5,775.0,620.0,Easy,All year,Yes,No,No
Chinidere Mountain Loop Hike,loop,,4673.0,1140.0,Moderate,Early Summer through Fall,Yes,"Yes - connects to Gorge trail network, camping at ",Peak summer weekends
Columbia Gorge Traverse Hike,point-to-point,34.7,1855.0,4725.0,Moderate (in sections),All year,"Yes, in short sections",Yes,No
Coyote Wall Hike,loop,7.8,1895.0,1775.0,Moderate,Year round,"Yes, but take care at the cliffs",No,Yes
Dalles Mountain Ranch Loop Hike,loop,6.9,1310.0,1060.0,Moderate,Year-round,Yes,No,Yes
Duncan Creek Hike,out-and-back,4.3,2050.0,1100.0,Moderate,Spring through fall,"Yes, for older kids",No,No
Eagle Creek Overlook Hike,out-and-back,0.6,170.0,175.0,Easy,October 1st to May 30th,Yes,No,No
Eagle Creek to Punch Bowl Falls Hike,out-and-back,,505.0,525.0,Easy,Year round,"Yes, for older kids",No,Yes
EasyCLIMB Loop Hike,loop,2.8,180.0,170.0,Easy,All year,Yes,No,No
