trail_name,trail_type,distance(miles),high_point(feet),elevation_gain(feet),difficulty,seasons,family_friendly,backpackable,crowded,latitude,longitude
 Eagle Creek to Metlako Falls [CLOSED],out-and-back,3.2,,669.0,Easy,,,,,45.63681,-121.9197
 Summit Lane Loop via Wildhorse and Mountain View Trails,loop,1.9,,180.0,Easy,,,,,45.49046,-122.49717
140 Trail Loop,loop,6.2,,1030.0,Moderate,,,,,45.68713,-121.60975
3 Fingers Gulch OHV Trail ,loop,33.7,,4330.0,Moderate,,,,,43.33879,-117.13614
"300, 112, 131, Scout Trail, 200, and 320 Trails Loop",loop,8.6,,1925.0,Hard,,,,,44.69798,-123.27093
333 Trail,out-and-back,2.7,,652.0,Moderate,,,,,42.35402,-124.41229
"420, 300, and 400 Trails Loop",loop,7.1,,1207.0,Moderate,,,,,44.69656,-123.25945
4T Trail,loop,9.0,,1571.0,Moderate,,,,,45.52,-122.68205
560 Loop Trail,loop,5.3,,839.0,Moderate,,,,,44.6687,-123.22281
560 and Forest Discovery Loop,loop,7.7,,1158.0,Moderate,,,,,44.66852,-123.22301
760 Outback Loop Trail,loop,4.9,,1164.0,Hard,,,,,44.64307,-123.32209
8 Track Trail Loop,loop,2.9,,390.0,Moderate,,,,,45.67851,-121.60338
A Host of Honkers: William L. Finley National Wildlife Refuge,loop,14.5,,987.0,Moderate,,,,,44.41848,-123.32494
ATCA Mountain Bike Trail,out-and-back,22.3,,2470.0,Hard,,,,,43.87139,-122.48667
Abbott Butte,out-and-back,7.0,,1971.0,Moderate,,,,,42.91889,-122.58448
Abiqua Falls Trail,out-and-back,5.3,,1397.0,Hard,,,,,44.93088,-122.54887
Acker Divide Trail to Grasshopper Meadow,out-and-back,3.3,,820.0,Moderate,,,,,43.04361,-122.52271
Adair Lewisburg Saddle Loop,loop,11.7,,1601.0,Hard,,,,,44.66877,-123.2229
Adams Mountain Trail #1419,out-and-back,1.9,,1085.0,Moderate,,,,,43.64497,-122.68034
Agnes Creek Open Space Loop,loop,1.7,,206.0,Easy,,,,,44.95194,-124.01742
Ainsworth Loop Hike,loop,0.5,150.0,85.0,Easy,All year,Yes,No,No,,
Airport Dike Trail,out-and-back,4.0,,29.0,Easy,,,,,46.15312,-123.86428
Alberta Park Loop,loop,1.0,,45.0,Easy,,,,,45.56387,-122.6435
Alder Flat Trail,out-and-back,1.9,,200.0,Easy,,,,,45.08068,-122.05627
Alder Island Nature Trail,loop,0.9,,16.0,Easy,,,,,44.89533,-124.00876
Alder Ridge Trail,loop,2.1,,252.0,Moderate,,,,,45.49081,-122.29634
Alder Springs Trail,out-and-back,5.7,,711.0,Moderate,,,,,44.43329,-121.35761
Alder Trail,out-and-back,2.4,,354.0,Easy,,,,,45.53846,-122.73397
"Alder, Northwest Leif Erikson Drive and Wildwood Loop",loop,2.3,,538.0,Easy,,,,,45.5405,-122.73672
Alfred A. Loeb State Park Nature Trails,loop,2.4,,574.0,Easy,,,,,42.11275,-124.18648
Allen Throop and Cardwell-Fitton Connection Loop,loop,1.7,,262.0,Easy,,,,,44.57627,-123.37032
Alpine Trail,loop,32.1,,6706.0,Hard,,,,,43.75808,-122.49533
Alpine Trail Oakridge Upper Section,loop,13.6,,2194.0,Moderate,,,,,43.83747,-122.47316
Alsea Falls Recreation Area Loop,loop,9.4,,1332.0,Moderate,,,,,44.32069,-123.49139
Alsea Falls Trail & Green Peak Falls Trail,out-and-back,2.8,,423.0,Easy,,,,,44.32523,-123.49131
"Alsea Falls, Fall Creek, and Springboard",loop,5.9,,629.0,Moderate,,,,,44.32072,-123.4914
Alsea River Loop ,loop,1.2,,29.0,Easy,,,,,44.4094,-123.56782
Alta Lake Trail,out-and-back,15.0,,2923.0,Hard,,,,,42.71364,-122.31079
Alton Baker Nature Loop,loop,2.1,,36.0,Easy,,,,,44.05614,-123.06876
Alvord Hot Springs,out-and-back,0.1,,0.0,Easy,,,,,42.54374,-118.53427
Amanda's Trail,out-and-back,5.9,,1450.0,Moderate,,,,,44.28678,-124.10871
Amphitheater Trail,out-and-back,0.9,,196.0,Easy,,,,,42.68748,-124.43951
Ample And Alluring #26 OHV Trail,out-and-back,1.1,,426.0,Moderate,,,,,45.58605,-123.4897
Ancient Forest Loop,loop,1.4,,95.0,Easy,,,,,45.49022,-122.30656
Ancient Juniper Trail,loop,3.1,,187.0,Easy,,,,,43.95743,-121.05127
Aneroid Lake Via East Fork Trail,out-and-back,13.1,,3188.0,Hard,,,,,45.26706,-117.21289
Angels Rest ,out-and-back,4.5,,1476.0,Moderate,,,,,45.56034,-122.1726
Angels Rest Hike,out-and-back,4.8,1640.0,1475.0,Moderate,All Season,Yes,No,Yes,,
Angels Rest to Devil's Rest Loop Trail ,loop,10.0,,3077.0,Hard,,,,,45.56053,-122.17251
Angels Rest-Devils Rest Loop Hike,loop,10.8,2435.0,3040.0,Moderate,All Season,Yes,No,Yes,,
Ankeny National Wildlife Refuge: Rail Trail Loop,loop,1.4,,6.0,Easy,,,,,44.77194,-123.07772
Annie Creek Canyon Trail,loop,2.1,,305.0,Moderate,,,,,42.86542,-122.16247
Anthony Lake to Black Lake,out-and-back,2.3,,249.0,Moderate,,,,,44.96218,-118.2301
"Applegate Lake, French Gulch and Payette Trail",out-and-back,13.7,,1410.0,Moderate,,,,,42.04823,-123.10478
Arch Rock Point Spruce Island Viewpoints Trail,loop,0.2,,6.0,Easy,,,,,42.20508,-124.37441
Arch Rock to Secret Beach,out-and-back,2.1,,413.0,Moderate,,,,,42.20487,-124.37385
Archer Lane,out-and-back,5.7,,561.0,Easy,,,,,45.38409,-118.09595
Arizona Beach Loop,loop,0.6,,32.0,Easy,,,,,42.6156,-124.39809
"Art's Alley, Hayrick and Overeasy Loop ",loop,3.6,,1040.0,Moderate,,,,,44.40935,-121.86876
Ascension Trail,out-and-back,1.2,,269.0,Easy,,,,,45.42771,-122.81956
Aspen Butte Trail,out-and-back,3.3,,1578.0,Moderate,,,,,42.29645,-122.08099
Aspen Butte via Clover Creek and Mountain Lakes Loop,loop,11.4,,2582.0,Hard,,,,,42.30055,-122.13591
Aspen Trail to Rocking Chair Dam,out-and-back,13.5,,1735.0,Moderate,,,,,45.53621,-122.71914
Aubrey Mountain Loop,loop,7.5,,1765.0,Moderate,,,,,43.73795,-122.42298
Audubon Society of Portland Bird Sanctuary,out-and-back,4.3,,518.0,Easy,,,,,45.53407,-122.70367
Avery Park Loop,loop,1.3,,29.0,Easy,,,,,44.55371,-123.27619
Azalea Park Trail,loop,0.5,,42.0,Easy,,,,,42.05674,-124.2752
Baby Rock Hike,out-and-back,3.7,,1666.0,Moderate,,,,,43.74524,-122.38456
Babyfoot Lake Rim Trail to Kalmiopsis Rim Trail,loop,4.9,,997.0,Moderate,,,,,42.22468,-123.7929
Babyfoot Lake Trail,out-and-back,2.5,,564.0,Easy,,,,,42.22472,-123.79297
Bachelor Mountain Trail,out-and-back,4.1,,1223.0,Hard,,,,,44.61784,-122.03446
Bachelor Mountain via Bugaboo Ridge,out-and-back,7.3,,1817.0,Hard,,,,,44.619,-121.97884
Backside Loop,loop,0.8,,108.0,Easy,,,,,42.39409,-123.3335
Badger Creek Trail,out-and-back,20.3,,3313.0,Hard,,,,,45.26308,-121.42148
Badger Lake Trail,out-and-back,11.2,,2755.0,Moderate,,,,,45.33951,-121.5701
Badlands Rock Trail,out-and-back,12.5,,354.0,Moderate,,,,,43.95381,-121.0149
"Badlands Rock, Flatiron, Ancient Juniper Trail Loop",loop,11.3,,459.0,Easy,,,,,43.95372,-121.0148
Bagby Hot Springs Trail,out-and-back,3.0,,305.0,Easy,,,,,44.95441,-122.16994
Bagby Trail #54 and Battle Ax Mountain Trail #3340 Loop,loop,5.8,,1751.0,Moderate,,,,,44.8252,-122.12501
Bagby Trail #544,out-and-back,23.7,,4881.0,Moderate,,,,,44.95404,-122.16971
Bagby Trail to Silver Lake,out-and-back,18.4,,3277.0,Hard,,,,,44.95419,-122.1709
"Bagby, Whetstone and Battle Ax Creek Trail ",loop,31.1,,7437.0,Hard,,,,,44.95379,-122.17045
Baker Beach Trail,out-and-back,0.6,,22.0,Moderate,,,,,44.08749,-124.11853
Baker Creek Loop,loop,9.8,,1850.0,Hard,,,,,44.6368,-123.29626
Balch Creek & Wildwood Trail Loop,loop,4.9,,790.0,Moderate,,,,,45.53496,-122.71269
Bald Butte Trail,out-and-back,8.5,,2591.0,Moderate,,,,,45.5209,-121.56
Bald Hill Farms Trail,out-and-back,0.6,,13.0,Easy,,,,,44.57606,-123.32672
Bald Hill Natural Area Loop,loop,3.6,,475.0,Easy,,,,,44.57599,-123.32659
Bald Hill Natural Area Loop from SW Reservoir Avenue,loop,3.6,,656.0,Moderate,,,,,44.56072,-123.32864
Bald Hill Trail,loop,2.7,,452.0,Moderate,,,,,44.57628,-123.32602
Bald Hill West Trail,out-and-back,3.6,,452.0,Moderate,,,,,44.57597,-123.32655
Bald Hill via Midge Cramer Path and Bald Hill Loop,loop,2.9,,449.0,Easy,,,,,44.57597,-123.3268
Bald Mountain from Lolo Pass Trail,out-and-back,6.1,,1387.0,Moderate,,,,,45.42722,-121.79617
Balfour-Klickitat Loop Hike,loop,0.7,220.0,115.0,Easy,All year,Yes,No,No,,
Bandon Oregon Coast Walk,out-and-back,4.4,,141.0,Easy,,,,,43.12233,-124.42835
Banks-Vernonia State Trail ,out-and-back,24.0,,1072.0,Moderate,,,,,45.62167,-123.1138
Banks-Vernonia Trail Extension to Vernonia Lake,loop,2.6,,29.0,Easy,,,,,45.85634,-123.19151
Barlow Butte Trail,out-and-back,3.2,,1236.0,Moderate,,,,,45.28284,-121.68471
Barlow Pass to Upper Twin Lake via PCT,out-and-back,7.0,,994.0,Moderate,,,,,45.28278,-121.68464
Barnes Butte,out-and-back,2.7,,567.0,Moderate,,,,,44.31338,-120.82494
Barr Creek Falls Viewpoint and Mill Creek Falls Trail,out-and-back,1.4,,164.0,Easy,,,,,42.7417,-122.49963
Barrett Spur via Vista Ridge and Wy'east Basin Trail,loop,9.9,,3592.0,Moderate,,,,,45.44317,-121.72959
Barrows Park Westside Trail,out-and-back,10.4,,1079.0,Moderate,,,,,45.43108,-122.82486
Barton Park Trail,out-and-back,1.1,,13.0,Easy,,,,,45.38155,-122.41189
Baskett Bluff Loop,loop,1.5,,206.0,Easy,,,,,44.96197,-123.25719
"Baskett Slough, Morgan Lake, Mount Baldy Trail",loop,5.1,,544.0,Easy,,,,,44.96206,-123.25743
Bates Butte Trail,loop,1.8,,567.0,Moderate,,,,,43.80867,-121.50422
"Battle Ax Creek, Bagby and Whetstone Trail ",loop,23.2,,5807.0,Moderate,,,,,44.85985,-122.26436
"Battle Axe Summit via Whetstone, Twin Lakes, Elk Lake",loop,33.6,,7624.0,Hard,,,,,44.85983,-122.26435
Battle Rock Wayfinding Point Beach,out-and-back,2.0,,91.0,Easy,,,,,42.74326,-124.49226
Baty Silver King Trail,out-and-back,1.5,,242.0,Moderate,,,,,44.93078,-122.24934
Bayocean Peninsula,loop,7.5,,91.0,Easy,,,,,45.51983,-123.94752
Beachie Trail,out-and-back,7.6,,1893.0,Hard,,,,,44.78302,-122.20676
