trail_name,trail_type,distance(miles),high_point(feet),elevation_gain(feet),difficulty,seasons,family_friendly,backpackable,crowded,rattlesnakes,ticks,posionivy,falling,latitude,longitude
Ainsworth Loop Hike,loop,0.5,150,85,Easy,All year,Yes,No,No,0,0,0,0,45.56058,-122.17239
Bear Lake Hike,out-and-back,2.6,4100,480,Easy,Summer/Fall,Yes,Yes,No,0,0,0,0,45.63621,-121.74248
Bridal Veil Falls Hike,out-and-back,1.4,230,205,Easy,All year,Yes,No,Yes,0,0,0,0,45.55346,-122.18291
Buck Creek on Larch Mountain Hike,out-and-back,1.8,1680,310,Easy,"All year, except during winter snows",Yes,No,No,0,0,0,0,45.51778,-122.17206
Buck Point Hike,out-and-back,1.8,710,600,Easy,Year-round,Yes,No,No,0,0,0,0,45.641,-121.9266
Camp Benson Falls Hike,out-and-back,4.9,460,430,Easy,All year,Yes,No,No,0,0,0,0,45.42771,-122.81956
Cascade Locks West Loop Hike,loop,3.0,280,100,Easy,Year round,Yes,No,No,0,0,0,0,45.66177,-121.89848
Chinidere Mountain Loop Hike,loop,4.4,4673,1140,Moderate,Early Summer through Fall,Yes,"Yes - connects to Gorge trail network, camping at ",Peak summer weekends,0,0,0,0,45.57737,-121.79263
Duncan Creek Hike,out-and-back,4.3,2050,1100,Moderate,Spring through fall,"Yes, for older kids",No,No,0,0,0,0,45.63603,-122.08526
Eagle Creek Overlook Hike,out-and-back,0.6,170,175,Easy,October 1st to May 30th,Yes,No,No,0,0,0,0,45.63674,-121.91974
EasyCLIMB Loop Hike,loop,2.8,180,170,Easy,All year,Yes,No,No,0,0,0,0,45.7253,-121.73
Elowah Falls Loop Hike,loop,2.1,255,340,Easy,Year-round except during winter storms,Yes,No,"Yes, as far as the falls",0,0,0,0,45.61248,-122.00461
Fairy Falls Loop Hike,loop,3.4,1575,1495,Moderate,All year,Yes,No,Yes,0,0,0,0,45.7253,-121.73
Fort Cascades Loop Hike,loop,1.3,60,15,Easy,year-round,Yes,No,No,0,0,0,0,46.22677,-124.01276
Fort Rains Hike,out-and-back,1.8,175,80,Easy,Year round,Yes,No,No,0,0,0,0,45.661,-121.90642
Gillette Lake Hike,out-and-back,5.6,435,650,Easy,Year round,Yes,No,Yes,0,0,0,0,45.65032,-121.93389
Hamilton Creek Loop Hike,loop,2.3,75,20,Easy,All year,Yes,No,No,0,0,0,0,45.6385,-121.9742
Herman Creek Hike,out-and-back,15.4,2925,2970,Difficult,All year,"Yes, for a shorter distance",Yes,On summer weekends,0,0,0,0,45.68295,-121.84194
Herman Creek Pinnacles Hike,out-and-back,4.6,970,1305,Easy,All year,Yes,No,"Yes, on weekends",0,0,0,0,45.68295,-121.84194
Herman Creek-Wyeth Hike,out-and-back,10.8,960,2175,Moderate,Year-Round,Yes (as a car shuttle),No,No,0,0,0,0,45.68295,-121.84194
Hood River Pipeline Hike,out-and-back,3.3,200,110,Easy,All year,Yes,No,On summer weekends,0,0,0,0,45.38337,-122.7408
Hood River Waterfront Hike,out-and-back,6.4,95,15,Easy,All year,Yes,No,Yes,0,0,0,0,45.38337,-122.7408
Indian Creek Hike,out-and-back,3.2,480,250,Easy,All year,Yes,No,No,0,0,0,0,45.70533,-121.50809
Larch Mountain Crater Loop Hike,loop,6.3,4055,1310,Moderate,May - November,Yes,No,No,0,0,0,0,45.52932,-122.08834
Latourell Falls Loop Hike,loop,2.4,620,625,Easy,Year round except during winter storms,Yes,No,Yes,0,0,0,0,45.53859,-122.21808
